item,title,genres,rating
7458,Troy (2004),Action|Adventure|Drama|War,2
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4
2,Jumanji (1995),Adventure|Children|Fantasy,5
4,Waiting to Exhale (1995),Comedy|Drama|Romance,4
5,Father of the Bride Part II (1995),Comedy,5
356,Forrest Gump (1994),Comedy|Drama|Romance|War,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,3
318,"Shawshank Redemption, The (1994)",Crime|Drama,3
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,4
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,1
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,2
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,3
527,Schindler's List (1993),Drama|War,4
110,Braveheart (1995),Action|Drama|War,1
2959,Fight Club (1999),Action|Crime|Drama|Thriller,2
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,2
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,2
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,5
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,3
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,3
2858,American Beauty (1999),Drama|Romance,3
858,"Godfather, The (1972)",Crime|Drama,1
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,2
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,3
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4
457,"Fugitive, The (1993)",Thriller,4
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,3
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,1
150,Apollo 13 (1995),Adventure|Drama|IMAX,1
608,Fargo (1996),Comedy|Crime|Drama|Thriller,1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1
2028,Saving Private Ryan (1998),Action|Drama|War,1
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,1
3578,Gladiator (2000),Action|Adventure|Drama,1
592,Batman (1989),Action|Crime|Thriller,1
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,1
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,1
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,2
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,3
590,Dances with Wolves (1990),Adventure|Drama|Western,3
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,1
377,Speed (1994),Action|Romance|Thriller,2
4226,Memento (2000),Mystery|Thriller,3
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,4
1704,Good Will Hunting (1997),Drama|Romance,4
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,4
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,4
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,4
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,4
1721,Titanic (1997),Drama|Romance,4
1265,Groundhog Day (1993),Comedy|Fantasy|Romance,4
344,Ace Ventura: Pet Detective (1994),Comedy,4
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,4
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,4
1036,Die Hard (1988),Action|Crime|Thriller,4
541,Blade Runner (1982),Action|Sci-Fi|Thriller,4
1214,Alien (1979),Horror|Sci-Fi,4
1193,One Flew Over the Cuckoo's Nest (1975),Drama,4
595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,4
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy,4
1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,4
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,1
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,2
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,3
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,3
597,Pretty Woman (1990),Comedy|Romance,1
500,Mrs. Doubtfire (1993),Comedy|Drama,2
1221,"Godfather: Part II, The (1974)",Crime|Drama,3
6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,4
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,5
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,4
